"date","cci"
1960-01-01,107.5944
1960-02-01,105.1914
1960-03-01,102.7885
1960-04-01,100.3855
1960-05-01,101.7843
1960-06-01,103.183
1960-07-01,104.5817
1960-08-01,102.0353
1960-09-01,99.48893
1960-10-01,96.94253
1960-11-01,97.4805
1960-12-01,98.01847
1961-01-01,98.55644
1961-02-01,98.87923
1961-03-01,99.20201
1961-04-01,99.52479
1961-05-01,101.9277
1961-06-01,104.3307
1961-07-01,106.7336
1961-08-01,104.51
1961-09-01,102.2864
1961-10-01,100.0628
1961-11-01,102.5374
1961-12-01,105.0121
1962-01-01,107.4868
1962-02-01,105.8729
1962-03-01,104.2589
1962-04-01,102.645
1962-05-01,101.2822
1962-06-01,99.9193
1962-07-01,98.55644
1962-08-01,99.77585
1962-09-01,100.9952
1962-10-01,102.2147
1962-11-01,103.4341
1962-12-01,104.6535
1963-01-01,105.8729
1963-02-01,103.4699
1963-03-01,101.067
1963-04-01,98.66404
1963-05-01,100.3497
1963-06-01,102.0353
1963-07-01,103.721
1963-08-01,103.0037
1963-09-01,102.2864
1963-10-01,101.5691
1963-11-01,103.3982
1963-12-01,105.2273
1964-01-01,107.0564
1964-02-01,106.6977
1964-03-01,106.3391
1964-04-01,105.9805
1964-05-01,106.7336
1964-06-01,107.4868
1964-07-01,108.2399
1964-08-01,107.9889
1964-09-01,107.7378
1964-10-01,107.4868
1964-11-01,108.2399
1964-12-01,108.9931
1965-01-01,109.7463
1965-02-01,110.9657
1965-03-01,112.1851
1965-04-01,113.4045
1965-05-01,112.6872
1965-06-01,111.9699
1965-07-01,111.2526
1965-08-01,111.0733
1965-09-01,110.8939
1965-10-01,110.7146
1965-11-01,109.6745
1965-12-01,108.6344
1966-01-01,107.5944
1966-02-01,106.0522
1966-03-01,104.51
1966-04-01,102.9678
1966-05-01,101.3539
1966-06-01,99.73998
1966-07-01,98.12607
1966-08-01,97.08598
1966-09-01,96.04591
1966-10-01,95.00583
1966-11-01,97.08598
1966-12-01,99.16615
1967-01-01,101.2463
1967-02-01,101.8919
1967-03-01,102.5374
1967-04-01,103.183
