"respondent","q16_system_of_government","q38_valentines_plans"
1,"2. Some improvement",NA
2,"1. No changes","2. Yes, stay in"
3,"1. No changes","3. No, nothing special"
4,"1. No changes","2. Yes, stay in"
5,"2. Some improvement",NA
6,"1. No changes",NA
7,"3. Many improvements","1. Yes, go out"
8,"2. Some improvement","3. No, nothing special"
9,"2. Some improvement","1. Yes, go out"
10,"4. Significant changes",NA
11,"4. Significant changes","3. No, nothing special"
12,"2. Some improvement","1. Yes, go out"
13,"2. Some improvement","9. Do not know / Refused"
14,"3. Many improvements","2. Yes, stay in"
15,"2. Some improvement","2. Yes, stay in"
16,"2. Some improvement",NA
17,"3. Many improvements","2. Yes, stay in"
18,"2. Some improvement","1. Yes, go out"
19,"2. Some improvement","3. No, nothing special"
20,"1. No changes","1. Yes, go out"
21,"3. Many improvements","2. Yes, stay in"
22,"2. Some improvement","3. No, nothing special"
23,"3. Many improvements",NA
24,"3. Many improvements",NA
25,"2. Some improvement","3. No, nothing special"
26,"3. Many improvements","2. Yes, stay in"
27,"2. Some improvement","9. Do not know / Refused"
28,"3. Many improvements","1. Yes, go out"
29,"3. Many improvements","3. No, nothing special"
30,"3. Many improvements","2. Yes, stay in"
31,"2. Some improvement","3. No, nothing special"
32,"3. Many improvements",NA
33,"2. Some improvement",NA
34,"4. Significant changes",NA
35,"2. Some improvement",NA
36,"2. Some improvement","2. Yes, stay in"
37,"4. Significant changes","2. Yes, stay in"
38,"2. Some improvement","3. No, nothing special"
39,"2. Some improvement","3. No, nothing special"
40,"1. No changes","1. Yes, go out"
41,"3. Many improvements",NA
42,"2. Some improvement","3. No, nothing special"
43,"2. Some improvement","3. No, nothing special"
44,"2. Some improvement","2. Yes, stay in"
45,"2. Some improvement","2. Yes, stay in"
46,"3. Many improvements","1. Yes, go out"
47,"2. Some improvement","2. Yes, stay in"
48,"4. Significant changes",NA
49,"2. Some improvement","2. Yes, stay in"
50,"1. No changes","2. Yes, stay in"
51,"3. Many improvements","1. Yes, go out"
52,"2. Some improvement","1. Yes, go out"
53,"2. Some improvement",NA
54,"3. Many improvements",NA
55,"4. Significant changes",NA
56,"3. Many improvements","3. No, nothing special"
57,"3. Many improvements",NA
58,"2. Some improvement",NA
59,"2. Some improvement","3. No, nothing special"
60,"2. Some improvement","3. No, nothing special"
61,"2. Some improvement","1. Yes, go out"
62,"4. Significant changes","3. No, nothing special"
63,"2. Some improvement","1. Yes, go out"
64,"3. Many improvements","3. No, nothing special"
65,"2. Some improvement","1. Yes, go out"
66,"2. Some improvement","1. Yes, go out"
67,"1. No changes","9. Do not know / Refused"
68,"2. Some improvement","1. Yes, go out"
69,"4. Significant changes","3. No, nothing special"
70,"3. Many improvements","3. No, nothing special"
71,"1. No changes","1. Yes, go out"
72,"2. Some improvement",NA
73,"4. Significant changes","2. Yes, stay in"
74,"2. Some improvement","3. No, nothing special"
75,"3. Many improvements","1. Yes, go out"
76,"2. Some improvement","3. No, nothing special"
77,"3. Many improvements",NA
78,"2. Some improvement",NA
79,"3. Many improvements",NA
80,"1. No changes","3. No, nothing special"
81,"1. No changes","1. Yes, go out"
82,"2. Some improvement",NA
83,"2. Some improvement","2. Yes, stay in"
84,"3. Many improvements","2. Yes, stay in"
85,"2. Some improvement","2. Yes, stay in"
86,"2. Some improvement","2. Yes, stay in"
87,"2. Some improvement",NA
88,"3. Many improvements","1. Yes, go out"
89,"2. Some improvement",NA
90,"2. Some improvement",NA
91,"3. Many improvements",NA
92,"2. Some improvement","3. No, nothing special"
93,"2. Some improvement","1. Yes, go out"
94,"1. No changes","1. Yes, go out"
95,"2. Some improvement",NA
96,"4. Significant changes","2. Yes, stay in"
97,"2. Some improvement","2. Yes, stay in"
98,"2. Some improvement",NA
99,"2. Some improvement","3. No, nothing special"
100,"3. Many improvements",NA
101,"3. Many improvements","3. No, nothing special"
102,"3. Many improvements",NA
103,"3. Many improvements","3. No, nothing special"
104,"1. No changes","2. Yes, stay in"
105,"4. Significant changes",NA
106,"3. Many improvements","3. No, nothing special"
107,"3. Many improvements","2. Yes, stay in"
108,"2. Some improvement","1. Yes, go out"
109,"3. Many improvements","3. No, nothing special"
110,"1. No changes","3. No, nothing special"
111,"4. Significant changes",NA
112,"1. No changes","3. No, nothing special"
113,"2. Some improvement","2. Yes, stay in"
114,"1. No changes","3. No, nothing special"
115,"4. Significant changes","1. Yes, go out"
116,"2. Some improvement","2. Yes, stay in"
117,"4. Significant changes",NA
118,"3. Many improvements","3. No, nothing special"
119,"3. Many improvements","1. Yes, go out"
120,"4. Significant changes","2. Yes, stay in"
121,"3. Many improvements",NA
122,"3. Many improvements","9. Do not know / Refused"
123,"2. Some improvement","3. No, nothing special"
124,"2. Some improvement",NA
125,"2. Some improvement","3. No, nothing special"
126,"1. No changes",NA
127,"2. Some improvement",NA
128,"1. No changes","2. Yes, stay in"
129,"4. Significant changes","3. No, nothing special"
130,"2. Some improvement","3. No, nothing special"
131,"3. Many improvements",NA
132,"4. Significant changes","2. Yes, stay in"
133,"4. Significant changes","3. No, nothing special"
134,"4. Significant changes",NA
135,"3. Many improvements","3. No, nothing special"
136,"4. Significant changes","3. No, nothing special"
137,"3. Many improvements","1. Yes, go out"
138,"2. Some improvement","2. Yes, stay in"
