"date","US","China","Japan","Germany","UK"
1992-01-01,58694,41,23151,7605,2633
1993-01-01,61226,53,23411,7183,2520
1994-01-01,64244,48,23508,6989,2468
1995-01-01,64399,63,22864,6875,2677
1996-01-01,69328,48,24046,7124,2674
1997-01-01,69860,66,24183,7291,2904
1998-01-01,90649,89,32116,9581,3726
1999-01-01,94040,99,32513,9896,3900
2000-01-01,96920,163,32922,10822,4087
2001-01-01,98594,266,34891,11894,4355
2002-01-01,97086,390,36340,11954,4197
2003-01-01,98563,424,37250,12140,4031
2004-01-01,94110,597,37034,11367,3905
2005-01-01,82562,565,31834,9575,3560
2006-01-01,102239,970,39411,10889,4328
2007-01-01,93665,1235,35942,10012,4030
2008-01-01,91980,1874,36679,10086,3843
2009-01-01,95032,2270,38066,10353,4011
2010-01-01,121164,3303,46978,13633,5038
2011-01-01,121247,3786,48256,12968,4924
2012-01-01,134187,5341,52773,15041,5876
2013-01-01,147652,6597,54170,16605,6551
2014-01-01,158709,7921,56006,17594,7156
2015-01-01,155982,9004,54422,17752,7167
2016-01-01,160540,11737,51938,17307,7345
2017-01-01,169208,14853,51952,18190,7686
2018-01-01,161809,16759,49702,17326,7599
2019-01-01,186118,22962,55927,19850,9041
2020-01-01,183147,26845,53779,19173,8470
