"entity","code","year","n_poor","n_notpoor","gdp_pc","share_poor"
"World","OWID_WRL",1820,117436202,117436202,1127.73,50
"World","OWID_WRL",1850,164148669,164148669,1300.502,50
"World","OWID_WRL",1870,244873757,244873757,1543.2267,50
"World","OWID_WRL",1950,923580000,923580000,3360.164,50
"World","OWID_WRL",1960,1387422349,1387422349,4403.6543,50
"World","OWID_WRL",1970,1924946519,1924946519,5970.6577,50
"World","OWID_WRL",1980,2519491424,2519491424,7239.1943,50
"World","OWID_WRL",1990,3406151829,3406151829,8210.969,50
"World","OWID_WRL",2010,5838986321,5838986321,13121.591,50
"World","OWID_WRL",2015,6615994784,6615994784,14713.451,50
