Member,HPI,HPIO,gHPI,gHPI5,nDOWN,UR,POPN,POPO,gPOP,HPI_date,HPIO_date,UR_date,POP_date
AL,540.51,286.54,88.6,48.2,5,3.2,5193.088,4854.803,7.0,2026-01-01,2016-01-01,2026-06-01,2025-01-01
AK,495.28,310.87,59.3,42.5,7,4.4,737.27,738.43,-0.2,2026-01-01,2016-01-01,2026-06-01,2025-01-01
AZ,734.15,331.39,121.5,47.7,3,4.9,7623.818,6832.81,11.6,2026-01-01,2016-01-01,2026-06-01,2025-01-01
AR,478.52,254.07,88.3,52.3,1,4.1,3114.791,2979.732,4.5,2026-01-01,2016-01-01,2026-06-01,2025-01-01
CA,976.79,543.85,79.6,35.9,5,5.2,39355.309,38904.296,1.2,2026-01-01,2016-01-01,2026-06-01,2025-01-01
CO,854.97,445.09,92.1,34.3,5,3.9,6012.561,5454.328,10.2,2026-01-01,2016-01-01,2026-06-01,2025-01-01
CT,720.72,384.4,87.5,60.6,5,5.2,3688.496,3588.561,2.8,2026-01-01,2016-01-01,2026-06-01,2025-01-01
DE,775.22,427.02,81.5,48.5,2,4.9,1059.952,942.065,12.5,2026-01-01,2016-01-01,2026-06-01,2025-01-01
FL,827.88,366.13,126.1,55.9,4,4.7,23462.518,20219.111,16.0,2026-01-01,2016-01-01,2026-06-01,2025-01-01
GA,662.12,303.89,117.9,56.0,1,3.4,11302.748,10183.353,11.0,2026-01-01,2016-01-01,2026-06-01,2025-01-01
HI,950.52,559.66,69.8,43.5,9,2.6,1432.82,1422.999,0.7,2026-01-01,2016-01-01,2026-06-01,2025-01-01
ID,873.6,345.08,153.2,46.2,5,3.7,2029.733,1652.495,22.8,2026-01-01,2016-01-01,2026-06-01,2025-01-01
IL,550.96,318.09,73.2,49.4,3,5.1,12719.141,12859.585,-1.1,2026-01-01,2016-01-01,2026-06-01,2025-01-01
IN,529.95,259.63,104.1,52.7,1,3.3,6973.333,6611.442,5.5,2026-01-01,2016-01-01,2026-06-01,2025-01-01
IA,462.37,272.28,69.8,42.0,2,3.2,3238.387,3122.541,3.7,2026-01-01,2016-01-01,2026-06-01,2025-01-01
KS,481.32,251.28,91.5,49.3,3,3.8,2977.22,2910.717,2.3,2026-01-01,2016-01-01,2026-06-01,2025-01-01
KY,579.93,302.12,92.0,50.2,0,4.7,4606.864,4429.126,4.0,2026-01-01,2016-01-01,2026-06-01,2025-01-01
LA,376.99,265.3,42.1,22.7,8,4.4,4618.189,4666.998,-1.0,2026-01-01,2016-01-01,2026-06-01,2025-01-01
ME,1035.68,464.26,123.1,64.9,1,3.1,1414.874,1329.098,6.5,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MD,720.1,436.32,65.0,37.8,4,4.3,6265.347,5988.528,4.6,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MA,1312.72,682.02,92.5,47.8,1,4.4,7154.084,6797.484,5.2,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MI,574.03,281.44,104.0,50.8,2,5.0,10127.884,9934.483,1.9,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MN,604.1,340.45,77.4,36.1,5,4.4,5830.405,5484.002,6.3,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MS,424.2,251.64,68.6,42.5,4,3.8,2954.16,2990.231,-1.2,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MO,567.45,290.05,95.6,51.5,1,3.7,6270.541,6075.411,3.2,2026-01-01,2016-01-01,2026-06-01,2025-01-01
MT,817.53,383.52,113.2,58.6,3,3.3,1144.694,1031.495,11.0,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NE,545.44,282.27,93.2,47.8,2,2.9,2018.006,1892.059,6.7,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NV,640.48,295.73,116.6,42.4,5,5.1,3282.188,2868.531,14.4,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NH,906.43,412.19,119.9,61.6,1,2.9,1415.342,1337.48,5.8,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NJ,947.27,480.0,97.3,62.3,2,4.5,9548.215,8870.312,7.6,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NM,556.35,295.38,88.4,46.8,3,4.8,2125.498,2090.071,1.7,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NY,1157.14,593.3,95.0,51.6,1,4.6,20002.427,19657.321,1.8,2026-01-01,2016-01-01,2026-06-01,2025-01-01
NC,702.88,327.01,114.9,59.3,1,3.6,11197.968,10037.218,11.6,2026-01-01,2016-01-01,2026-06-01,2025-01-01
ND,523.26,350.73,49.2,35.0,9,2.3,799.358,755.537,5.8,2026-01-01,2016-01-01,2026-06-01,2025-01-01
OH,513.93,253.31,102.9,53.1,2,3.6,11900.51,11622.315,2.4,2026-01-01,2016-01-01,2026-06-01,2025-01-01
OK,395.71,224.21,76.5,44.6,3,4.2,4123.288,3910.518,5.4,2026-01-01,2016-01-01,2026-06-01,2025-01-01
