"date","cpi","inflation"
1970-01-01,37.9,NA
1970-02-01,38.1,NA
1970-03-01,38.3,NA
1970-04-01,38.5,NA
1970-05-01,38.6,NA
1970-06-01,38.8,NA
1970-07-01,38.9,NA
1970-08-01,39,NA
1970-09-01,39.2,NA
1970-10-01,39.4,NA
1970-11-01,39.6,NA
1970-12-01,39.8,NA
1971-01-01,39.9,0.051425211807437
1971-02-01,39.9,0.0461620417631625
1971-03-01,40,0.043429557927336
1971-04-01,40.1,0.0407180930187847
1971-05-01,40.3,0.043099192481852
1971-06-01,40.5,0.0428817274832656
1971-07-01,40.6,0.0427738159832867
1971-08-01,40.7,0.0426664463189033
1971-09-01,40.8,0.0400053346136993
1971-10-01,40.9,0.0373642467448678
1971-11-01,41,0.0347429484438733
1971-12-01,41.1,0.0321412092117974
1972-01-01,41.2,0.0320619324596629
1972-02-01,41.4,0.0369045569354509
1972-03-01,41.4,0.0344014267173325
1972-04-01,41.5,0.034317092924129
1972-05-01,41.6,0.0317486983145807
1972-06-01,41.7,0.0291991546922628
1972-07-01,41.8,0.0291282729230233
1972-08-01,41.9,0.0290577344795424
1972-09-01,42.1,0.0313656592782197
1972-10-01,42.2,0.0312901579932103
1972-11-01,42.4,0.0335762955336043
1972-12-01,42.5,0.0334959544281821
1973-01-01,42.7,0.0357606638790982
1973-02-01,43,0.0379192348622936
1973-03-01,43.4,0.0471785602750905
1973-04-01,43.7,0.0516546748648921
1973-05-01,43.9,0.0538141528139078
1973-06-01,44.2,0.0582236602788964
1973-07-01,44.2,0.055828449552942
1973-08-01,45,0.0713766628422277
1973-09-01,45.2,0.07104934614985
1973-10-01,45.6,0.0774874954783744
1973-11-01,45.9,0.0793167548285871
1973-12-01,46.3,0.0856378851618169
1974-01-01,46.8,0.0916842826890223
1974-02-01,47.3,0.0953101798043248
1974-03-01,47.8,0.0965661983910509
1974-04-01,48.1,0.0959340750101711
1974-05-01,48.6,0.101709210825323
1974-06-01,49,0.103095509026974
1974-07-01,49.3,0.109199291964992
1974-08-01,49.9,0.103358512987153
1974-09-01,50.6,0.112854489455234
1974-10-01,51,0.111917916203985
1974-11-01,51.5,0.115116690603191
1974-12-01,51.9,0.114176829079655
1975-01-01,52.3,0.111113168147276
1975-02-01,52.6,0.106205824245777
1975-03-01,52.8,0.0994855512148058
1975-04-01,53,0.0970097364404063
1975-05-01,53.1,0.0885533973414452
1975-06-01,53.5,0.0878613557913344
1975-07-01,54,0.0910599655156301
1975-08-01,54.2,0.0826599056881276
1975-09-01,54.6,0.0760823064574394
1975-10-01,54.9,0.0736877157911588
1975-11-01,55.3,0.0711911008585986
1975-12-01,55.6,0.0688644110846934
1976-01-01,55.8,0.0647774983163876
1976-02-01,55.9,0.060848260417389
1976-03-01,56,0.0588405000229337
1976-04-01,56.1,0.056843898976529
1976-05-01,56.4,0.06029223025612
1976-06-01,56.7,0.0580925568317459
1976-07-01,57,0.0540672212702757
1976-08-01,57.3,0.0556197152750935
1976-09-01,57.6,0.0534886849509864
1976-10-01,57.9,0.0532040360634651
1976-11-01,58.1,0.0493927553295768
1976-12-01,58.4,0.0491326885776449
1977-01-01,58.7,0.050665857446786
1977-02-01,59.3,0.0590449258426267
1977-03-01,59.6,0.0623038833361544
1977-04-01,60,0.0672087496934495
1977-05-01,60.2,0.0652031938107624
1977-06-01,60.5,0.0648691543030893
1977-07-01,60.8,0.0645385211375711
1977-08-01,61.1,0.0642112424568557
1977-09-01,61.3,0.0622572752403201
1977-10-01,61.6,0.0619444859605247
1977-11-01,62,0.0649687211872259
1977-12-01,62.3,0.064645535959226
1978-01-01,62.7,0.0659217208048242
1978-02-01,63,0.0605254203878527
1978-03-01,63.4,0.0618082873718757
1978-04-01,63.9,0.0629747991613883
1978-05-01,64.5,0.0689928714869508
1978-06-01,65,0.0717439048588409
1978-07-01,65.5,0.0744603536690853
1978-08-01,65.9,0.0756265753309115
1978-09-01,66.5,0.0814221047196426
1978-10-01,67.1,0.0855221734381617
1978-11-01,67.5,0.0849932128333926
1978-12-01,67.9,0.0860746087712432
1979-01-01,68.5,0.0884722976293046
1979-02-01,69.2,0.0938661362320916
1979-03-01,69.9,0.0976017877965845
1979-04-01,70.6,0.0997107831157074
1979-05-01,71.4,0.101632645543813
1979-06-01,72.2,0.105052776003144
1979-07-01,73,0.108409298507184
1979-08-01,73.7,0.11186435768683
1979-09-01,74.4,0.112253994177238
1979-10-01,75.2,0.113967186978158
1979-11-01,76,0.118605742407847
1979-12-01,76.9,0.124469841946948
1980-01-01,78,0.129875081421412
1980-02-01,79,0.132446989843397
1980-03-01,80.1,0.136210204834549
1980-04-01,80.9,0.13618367956525
1980-05-01,81.7,0.134756132520418
1980-06-01,82.5,0.133358247441854
1980-07-01,82.6,0.123550239378542
1980-08-01,83.2,0.121244548631871
1980-09-01,83.9,0.120169671634114
1980-10-01,84.7,0.118964370702215
1980-11-01,85.6,0.118951942861365
1980-12-01,86.4,0.116481799298412
1981-01-01,87.2,0.111495504225342
1981-02-01,88,0.107888962011185
1981-03-01,88.6,0.100856003536721
1981-04-01,89.1,0.0965455104123176
1981-05-01,89.7,0.0934167671987929
1981-06-01,90.5,0.0925515573652458
1981-07-01,91.5,0.102329291754543
1981-08-01,92.2,0.102712782735385
1981-09-01,93.1,0.10404857080986
1981-10-01,93.4,0.0977757435767881
1981-11-01,93.8,0.0914795728644826
1981-12-01,94.1,0.085370370781324
1982-01-01,94.4,0.0793367422365217
1982-02-01,94.7,0.0733771857138255
1982-03-01,94.7,0.0665821425809972
1982-04-01,95,0.0641175571237769
1982-05-01,95.9,0.0668352128246426
1982-06-01,97,0.0693611277975021
1982-07-01,97.5,0.0635134057223254
1982-08-01,97.7,0.0579414284861892
1982-09-01,97.7,0.048227374765716
1982-10-01,98.1,0.0490960213365206
1982-11-01,98,0.0438026226583936
1982-12-01,97.7,0.0375435124574031
1983-01-01,97.9,0.036405476385009
1983-02-01,98,0.03425347847854
1983-03-01,98.1,0.0352733663792852
1983-04-01,98.8,0.0392207131532816
1983-05-01,99.2,0.0338320324014347
1983-06-01,99.4,0.0244411351591456
1983-07-01,99.8,0.0233158053136169
1983-08-01,100.1,0.0242681272724372
1983-09-01,100.4,0.027260648208892
1983-10-01,100.8,0.0271509890659507
1983-11-01,101.1,0.0311426473558534
1983-12-01,101.4,0.0371715321083457
1984-01-01,102.1,0.042006175634155
1984-02-01,102.6,0.0458704540660966
1984-03-01,102.9,0.047770276268686
1984-04-01,103.3,0.0445397713717703
1984-05-01,103.5,0.042433598414596
1984-06-01,103.7,0.0423500015729532
1984-07-01,104.1,0.0421837923035051
1984-08-01,104.4,0.0420599891273641
1984-09-01,104.7,0.0419369106188618
1984-10-01,105.1,0.0417739222456373
1984-11-01,105.3,0.0407032931135038
1984-12-01,105.5,0.0396378617590383
1985-01-01,105.7,0.0346521677055724
1985-02-01,106.3,0.035427352611233
1985-03-01,106.8,0.037200283686091
1985-04-01,107,0.0351914583363131
1985-05-01,107.2,0.035124635931278
1985-06-01,107.5,0.0359887323322354
1985-07-01,107.7,0.0339976085414193
1985-08-01,107.9,0.0329751968155501
1985-09-01,108.1,0.0319576067686711
1985-10-01,108.5,0.0318378950976088
1985-11-01,109,0.0345344630892139
1985-12-01,109.5,0.0372135963404343
1986-01-01,109.9,0.0389659685333843
1986-02-01,109.7,0.0314840819332831
1986-03-01,109.1,0.0213069663129302
1986-04-01,108.7,0.015762959665258
1986-05-01,109,0.016651633592442
1986-06-01,109.4,0.0175200424201636
1986-07-01,109.5,0.0165749650942129
1986-08-01,109.6,0.0156325022498267
1986-09-01,110,0.0174236411472544
1986-10-01,110.2,0.0155467237383
1986-11-01,110.4,0.0127622516138519
1986-12-01,110.8,0.0118022250566279
1987-01-01,111.4,0.0135564660836076
1987-02-01,111.8,0.0189621934398136
1987-03-01,112.2,0.0280181002495716
1987-04-01,112.7,0.0361376269185669
1987-05-01,113,0.0360399364831974
1987-06-01,113.5,0.0367919469335769
1987-07-01,113.8,0.0385179724356748
1987-08-01,114.3,0.0419891962868499
1987-09-01,114.7,0.0418396583429086
1987-10-01,115,0.0426352316444358
1987-11-01,115.4,0.0442942202310039
1987-12-01,115.6,0.0424091819250938
1988-01-01,116,0.0404628636131807
1988-02-01,116.2,0.0386012836968126
1988-03-01,116.5,0.0376082799171593
1988-04-01,117.2,0.0391524560971819
1988-05-01,117.5,0.0390505148718727
1988-06-01,118,0.0388817875442076
1988-07-01,118.5,0.0404704388829558
1988-08-01,119,0.0402969223107643
1988-09-01,119.5,0.0409963472362405
1988-10-01,119.9,0.041725933670218
1988-11-01,120.3,0.0415842689066341
1988-12-01,120.7,0.0431721718652085
1989-01-01,121.2,0.0438518825288492
1989-02-01,121.6,0.0454241251142555
1989-03-01,122.2,0.0477677737317395
1989-04-01,123.1,0.0491151560474954
1989-05-01,123.7,0.051420945814229
1989-06-01,124.1,0.0504030677448961
1989-07-01,124.5,0.0493927553295759
1989-08-01,124.5,0.0451822227932324
1989-09-01,124.8,0.0433960845637618
1989-10-01,125.4,0.0448505661653522
1989-11-01,125.9,0.0454993180696679
1989-12-01,126.3,0.0453519012529595
1990-01-01,127.5,0.0506742909632676
1990-02-01,128,0.0512932943875501
1990-03-01,128.6,0.0510477650660235
1990-04-01,128.9,0.0460398767547341
1990-05-01,129.1,0.0427280184541541
1990-06-01,129.9,0.0456772314659926
1990-07-01,130.5,0.0470675108579863
1990-08-01,131.6,0.0554613029864548
1990-09-01,132.5,0.0598701894909492
1990-10-01,133.4,0.0618435052827033
1990-11-01,133.7,0.0601105430575961
1990-12-01,134.2,0.0606711951811363
1991-01-01,134.7,0.0549337188178374
1991-02-01,134.8,0.0517619345585896
