"Obs","AGI"
1,0
2,6.45124733471019
3,0
4,6.3684242713064
5,0
6,0
7,2.3775902647971
8,8.3004545296104
9,0
10,10.8854323870286
11,2.01280423869254
12,0
13,2.20954089805171
14,14.1308473206132
15,12.8742036909918
16,0.841123457648566
17,4.2687766264913
18,0
19,6.16484055806006
20,9.07367956890447
21,12.435714864167
22,15.4265577372169
23,4.92176799802208
24,7.45754479123266
25,3.23340443620915
26,20.103036661662
27,20.1869840174494
28,15.8234144064829
29,26.9875715081232
30,17.3243705034679
31,9.88123847924533
32,0
33,0
34,0
35,6.66597508368256
36,2.81539368643387
37,0
38,0
39,11.6354427320327
40,1.95732764147291
41,2.34184844671615
42,2.35135440482246
43,3.97229319318931
44,6.8195560899884
45,0
46,3.09322504217432
47,0
48,0
49,0
50,0
51,15.6658168954312
52,0
53,4.36653251389081
54,3.7757042975825
55,0
56,9.01325734402936
57,0
58,0
59,3.24299143139299
60,6.18652515467311
61,0
62,0
63,6.84461423736154
64,0
65,5.33697605136883
66,1.19731775825204
67,6.94963379969147
68,16.1877615260692
69,0
70,0
71,9.31895870326762
72,2.28108966034224
73,4.09540571950552
74,0
75,1.25975750141011
76,3.97063450527556
77,0.89010242074462
78,0.256208903693501
79,4.00211943674706
80,0.868674372068585
81,1.63726304759341
82,12.2296467076779
83,2.63519761797776
84,0
85,4.88988526046203
86,9.68879183636802
87,0
88,15.4149291822506
89,9.75689923666225
90,0
91,0
92,6.46965210454171
93,0
94,1.58939350718958
95,0
96,13.5697777990093
97,8.31747559184158
98,0.393724662067506
99,4.07432012615564
100,0
101,2.59161046050384
102,5.79322297909473
103,11.0152077553975
104,0
105,4.14572551470164
106,7.84846520721978
107,10.2824839679534
108,0
109,3.46413701568453
110,0
111,3.40888757253837
112,0
113,3.5981296985019
114,8.61172294592296
115,0
116,5.56275168028121
117,7.30311431868778
118,0
119,2.4548003204761
120,0
121,0
122,0
123,0
124,0
125,8.11080361217378
126,0.972676565303572
127,8.53444243447268
128,0
129,5.25475731056986
130,0
131,7.60503378389623
132,2.03312872236613
133,0
134,0
135,1.42493283267109
136,0
137,0
138,0
139,2.1254404587824
140,9.06489818876288
141,2.47310842801474
142,0.481176248421493
143,6.35281208601533
144,1.20418979114485
145,12.3221747184726
146,1.14470941788493
147,0
148,0
149,0
150,2.16505966356308
151,7.99285552501587
152,0.965269108797402
153,6.9736078431597
154,8.10210364790199
155,0
156,0
157,5.0636719862379
158,0
159,3.41594912444535
160,11.4460388467824
161,9.86716098141451
162,0
163,0
164,0
165,0
166,0.586683581152036
167,16.3957514074852
168,0
169,4.54137129522927
170,6.28370671525004
171,5.49130423875154
172,0
173,2.01522173198601
174,9.57695459432338
175,0
176,0
177,1.69643650974729
178,12.9263121606268
179,0
180,0
181,6.92571723862521
182,0
183,0
184,0
185,0
186,0
187,0
188,2.84983735406891
189,2.10805360883231
190,0
191,0.976272688047219
192,2.88555123861388
193,6.22669467902682
194,4.60314616150382
195,9.05488439277464
196,6.48901787070898
197,0.499652790293172
198,0
199,0
200,0
201,0
202,11.5888412723551
203,2.86519992001637
204,3.98227810161285
205,0
206,4.40516423581987
207,5.45409969252479
208,1.32027220117007
209,0
210,1.95336213814481
211,0
212,7.17234195291684
213,5.36958689044579
214,1.98765359789044
215,0.08070596175556
216,0.372373052628518
217,0
218,2.2273838841758
219,12.8041277241138
220,12.3964019150055
221,9.45091878930877
222,0
223,0.387970382235931
224,0
225,4.19994042252095
226,2.98297234153168
227,0
228,0
229,2.33176217554582
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0.0123840185694926
238,0
239,4.36602725457581
240,7.3300563154268
241,0.499040986496224
242,0
243,1.27731206302145
244,9.07218838171172
245,1.11552981161836
246,0
247,4.19776754296463
248,3.00270360846374
249,5.84503342603919
250,4.26404682698161
251,3.07678459803947
252,10.7977054138175
253,0
254,9.05101072185052
255,2.02997906151717
256,0
257,2.35391180201308
258,0
259,0
260,0.124021963141119
261,0.970331461225524
262,15.4745796520809
263,0
264,0
265,0
266,0.677229085181573
267,7.62595811180885
268,2.56395128855796
269,4.87110237988663
270,0
271,0
272,9.04570438994306
273,9.28963365885544
274,10.5814479897798
275,3.11681806710094
276,3.74021997834429
277,0
278,0
279,0.272620673578016
280,5.00226123176989
281,0
282,3.72681031740417
283,0
284,0
285,0.716520828612031
286,0
287,0
288,2.65636462924069
289,7.78105711423935
290,0
291,7.72929522688593
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,4.83386292055095
301,0
302,0
303,0
304,0
305,3.44516534812198
306,21.0951441306693
307,0
308,0
309,1.85582063279644
310,10.8456531143759
311,2.15782018367242
312,0
313,0
314,0
315,0
316,0.443050858180494
317,7.759409977645
318,11.5461803612034
319,0
320,1.37838493206024
321,0
322,0
323,2.04190875582343
324,0
325,4.82949982158537
326,4.38064359797253
327,0.331330764487225
328,6.47037526843485
329,4.95289475634678
330,0
331,0
332,0
333,0
334,12.173084577716
335,0.36312191051624
336,0
337,4.60942993523899
338,0
339,1.39146799880442
340,1.28870882318232
341,0.819257644751516
342,6.78405113612167
343,0
344,3.62819684148348
345,0
346,0
347,0.458272891922301
348,2.27422112745519
349,0
350,1.1996007745332
351,7.18924998640631
352,0
353,3.19488308663919
354,4.58246136378555
355,0
356,12.0840308343453
357,5.39301303543256
358,2.9241816181505
359,0
360,2.49606837026556
361,0
362,2.20533952147515
363,0
364,0
365,0
366,0
367,4.72122811517588
368,1.57507006185333
369,4.41040655969511
370,0
371,3.18705784676412
372,0
373,0
374,0
375,0
376,0
377,11.2113658531632
378,7.06960254544786
379,9.89702775063735
380,0
381,2.49837714893924
382,1.06531670922977
383,1.47960057227008
384,0
385,8.22345414595123
386,0
387,8.81763242495668
388,0
389,11.187887772988
390,7.34214953223553
391,0
392,5.81078681558346
393,0
394,0
395,0
396,1.15510172583206
397,6.2958062912135
398,0
399,16.504165854875
400,8.4390328490102
401,0
402,0
403,0
404,6.61747216790524
405,3.0528535303404
406,2.38557096061242
407,7.82654166468824
408,4.87390792612375
409,1.812168305111
410,0
411,0.359924383190598
412,5.0472405507514
413,2.35206137731891
414,0
415,7.57049131748391
416,0
417,4.64838078541911
418,1.0715189361156
419,0
420,0
421,5.13779549367189
422,8.25102015369724
423,6.77748237338674
424,14.7483476766213
425,3.84612789247269
426,0
427,2.56088313211131
428,0
429,5.02717591361207
430,1.44780207980434
431,0
432,6.77153295261311
433,0
434,7.86339631461367
435,0
436,0
437,0
438,0.781111233591333
439,3.15222136288295
440,6.20477746513091
441,0
442,1.7650530005661
443,0
444,2.31447853216571
445,14.660027219811
446,12.8747139588571
447,0
448,10.1103199409716
449,6.13379840773978
450,2.91299271190284
451,1.58618320337852
452,4.28848081780905
453,2.34098542118482
454,8.05652781332976
455,3.92158694981954
456,1.14128295248886
457,11.7334627414016
458,0
459,4.38352765648525
460,5.98807258816544
461,4.142305241191
462,0
463,2.59612734020484
464,12.6890029277625
465,0
466,6.35587119336822
467,9.18058316331723
468,0
469,10.4770304408917
470,13.9823598076261
471,0
472,4.54170163047821
473,6.50177926029541
474,4.145346635706
475,0
476,0
477,9.45767476072976
478,0.914198512946702
479,13.1960072487289
480,0
481,5.52862120871761
482,5.7216827484346
483,14.1985787084759
484,3.22458515380984
485,0
486,3.66469330543607
487,2.12910548111082
488,0.672482964225878
489,0
490,0
491,0
492,25.4943617657206
493,2.37734400466108
494,1.58193790997818
495,8.36744434668547
496,0
497,5.90242255871494
498,8.5389420341805
499,7.18211886709058
500,0
501,0
502,10.3349037568156
503,0.738479954373291
504,2.61726928332767
505,4.37122526833439
506,2.8366985588026
507,0
508,0
509,5.60512229530671
510,2.99052204889739
511,11.1250692232129
512,10.575302979108
513,6.93185219731815
514,0
515,2.0929277621358
516,1.9929431228829
517,16.3431226631137
518,4.27346588605372
519,2.74607993707449
520,0.255984813616834
521,6.43685085148442
522,6.53110368930597
523,0
524,13.5392906553159
525,5.1187586744867
526,8.49320176229292
527,10.1985105296441
528,0
529,0
530,10.172845342368
531,10.7507803238183
532,3.96609367739755
533,0
534,7.23301739831917
535,0
536,5.57649595098506
537,16.2114006229191
538,2.75513163870891
539,3.88310188589239
540,1.47264889550434
541,3.20728923739246
542,6.10049475872694
543,6.99186047458499
544,9.33075703847324
545,0.71035205683349
546,9.28956402419844
547,3.02528099823107
548,6.20781122803803
549,0
550,3.5273529908272
551,0
552,3.86656178018708
553,0
554,0
555,0
556,3.68868431319348
557,8.60904066296716
558,0
559,0
560,6.70416884104228
561,7.11190262829712
562,1.32264136057011
563,11.1559902644472
564,3.71804782306338
565,17.1412853081922
566,0
567,0
568,13.974361639582
569,1.33834719316581
570,15.3121901365666
571,3.41398666577852
572,8.21857382990486
573,3.98618846701703
574,7.4606270640011
575,8.97979248918259
576,9.70966307451581
577,0.230818933261441
578,0
579,1.27710592981823
580,8.30001655414811
581,0
582,0
