"date","real_gdp","unemployment_rate","gdp_growth"
2005-01-01,147407.4,4.3,NA
2005-04-01,152044.4,4.3,NA
2005-07-01,150993.3,4.2,NA
2005-10-01,152278.3,4.1,NA
2006-01-01,154678.3,4.1,0.0481472942239449
2006-04-01,156888.1,4.1,0.0313602289207164
2006-07-01,156121.8,4.2,0.0334010068689885
2006-10-01,157503.2,4.2,0.0337360077135429
2007-01-01,156876.1,4.3,0.014108845566815
2007-04-01,156783.8,4.5,-0.000665026123437329
2007-07-01,157527.6,4.8,0.00896420916995311
2007-10-01,159749.8,5.1,0.0141630657810694
2008-01-01,155910.3,5.5,-0.00617547994001555
2008-04-01,153816.1,6.1,-0.0191100532550283
2008-07-01,152907.6,6.9,-0.0297668636188
2008-10-01,148348.4,8,-0.0740452799270326
2009-01-01,143218.9,9.2,-0.0849066128158924
2009-04-01,140143.4,10.3,-0.0930915488963322
2009-07-01,138674,11.3,-0.097707962579527
2009-10-01,139181,12.2,-0.0637883170423894
2010-01-01,139689.3,12.9,-0.0249535584268425
2010-04-01,142042.3,13.2,0.0134587164646689
2010-07-01,144001.1,13.3,0.0376950836255165
2010-10-01,144723.9,13.4,0.0390525449830577
2011-01-01,143001.2,13.3,0.0234323512021835
2011-04-01,145703,13.1,0.0254454026775441
2011-07-01,144410,13.1,0.00283553770275979
2011-10-01,144250.6,12.8,-0.00327572448934887
2012-01-01,143864.7,12.2,0.00602025272447015
2012-04-01,143238.9,11.9,-0.017056437561541
2012-07-01,142934.6,11.5,-0.0102692931489585
2012-10-01,141906.1,11,-0.0163864935631945
2013-01-01,144167.6,10.7,0.00210323711374905
2013-04-01,143484.8,10.3,0.00171524056286643
2013-07-01,144467.7,9.9,0.0106687701647861
2013-10-01,146077,9.5,0.0289683086817831
2014-01-01,143523.1,9,-0.00448051381705916
2014-04-01,144371.3,8.5,0.00615934699757936
2014-07-01,145775.9,8.1,0.00901455783299099
2014-10-01,147544,7.8,0.0099925564369503
2015-01-01,148414.9,7.4,0.0335157321515247
2015-04-01,150694,7.1,0.0428628373974114
2015-07-01,151743.3,6.8,0.0401197664125323
2015-10-01,153371.3,6.5,0.038735342480205
2016-01-01,153211.7,6.3,0.0318088951418005
2016-04-01,154219.3,6,0.0231243247847654
2016-07-01,158272.5,5.8,0.0421279536126171
2016-10-01,158326.1,5.6,0.0317950512517395
2017-01-01,161418.9,5.3,0.0521822242043086
2017-04-01,162573.2,5.1,0.0527527464567026
2017-07-01,164735.4,4.9,0.0400223193233913
2017-10-01,164068.8,4.9,0.0356290219362325
2018-01-01,167517.3,4.7,0.0370837801619466
2018-04-01,167927.6,4.5,0.0324045722547286
2018-07-01,168470.2,4.3,0.0224183292165581
2018-10-01,170639,4.3,0.0392643618065716
2019-01-01,173525.4,4.3,0.0352373568525124
2019-04-01,174565.5,4.1,0.0387670952437755
2019-07-01,176929.3,4,0.0489913381977694
2019-10-01,179098.7,4.1,0.0483868366702733
2020-01-01,176889.9,4.2,0.019203518765833
2020-04-01,149943.6,30.5,-0.152040805988886
2020-07-01,167210.6,16.7,-0.056496121979885
2020-10-01,169655.2,11.1,-0.0541689084240335
2021-01-01,173346.5,8.9,-0.0202350235712814
2021-04-01,181517.6,7.7,0.191093395310086
2021-07-01,186395.5,6.6,0.108616664558902
2021-10-01,189213.7,5.6,0.109108922042788
2022-01-01,190600.5,5.2,0.0948871329506265
2022-04-01,194866.1,5.2,0.0709600373329273
2022-07-01,195614,5.2,0.0482725693523243
2022-10-01,196775.1,5.3,0.039184388078743
2023-01-01,198464.9,5.2,0.0404326437836566
2023-04-01,199726.2,5,0.0246347725778708
2023-07-01,202425.1,5.1,0.0342266119006833
2023-10-01,204018.2,5.2,0.0361477533279846
2024-01-01,205489.1,5.2,0.0347807328718392
2024-04-01,206299,5.4,0.0323791441442989
2024-07-01,208007.9,5.5,0.027206118167113
2024-10-01,209611.4,5.5,0.0270461347298099
2025-01-01,208448.8,5.4,0.0143004563670139
2025-04-01,210269.9,5.3,0.0190653708454978
2025-07-01,212406.9,5.2,0.0209277149665379
2026-01-01,214036.6,5.3,0.0208916881547889
