"Obs","GPA"
1,1.35
2,1.35
3,1.5
4,1.65
5,1.9
6,1.955
7,2.15
8,2.225
9,2.5
10,2.52
11,2.557
12,2.581
13,2.666
14,2.711
15,2.757
16,2.818
17,2.86
18,2.86
19,2.866
20,2.9
21,2.925
22,2.94
23,2.963
24,2.972
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3.042
41,3.05
42,3.05
43,3.066
44,3.077
45,3.08
46,3.08
47,3.085
48,3.086
49,3.1
50,3.1
51,3.1
52,3.1
53,3.1
54,3.108
55,3.111
56,3.12
57,3.125
58,3.125
59,3.133
60,3.14
61,3.14
62,3.14
63,3.15
64,3.162
65,3.166
66,3.175
67,3.185
68,3.193
69,3.2
70,3.2
71,3.2
72,3.2
73,3.2
74,3.209
75,3.212
76,3.216
77,3.222
78,3.225
79,3.233
80,3.233
81,3.233
82,3.255
83,3.26
84,3.262
85,3.275
86,3.281
87,3.281
88,3.286
89,3.287
90,3.287
91,3.287
92,3.287
93,3.3
94,3.313
95,3.313
96,3.313
97,3.317
98,3.32
99,3.325
100,3.325
101,3.328
102,3.328
103,3.33
104,3.333
105,3.333
106,3.333
107,3.333
108,3.333
109,3.337
110,3.342
111,3.35
112,3.35
113,3.35
114,3.35
115,3.371
116,3.383
117,3.386
118,3.4
119,3.4
120,3.4
121,3.4
122,3.407
123,3.41
124,3.41
125,3.412
126,3.412
127,3.425
128,3.425
129,3.426
130,3.433
131,3.433
132,3.433
133,3.435
134,3.45
135,3.45
136,3.454
137,3.454
138,3.46
139,3.46
140,3.466
141,3.47
142,3.471
143,3.471
144,3.48
145,3.485
146,3.488
147,3.488
148,3.5
149,3.5
150,3.5
151,3.5
152,3.5
153,3.5
154,3.5
155,3.5
156,3.5
157,3.5
158,3.5
159,3.5
160,3.512
161,3.52
162,3.528
163,3.528
164,3.53
165,3.533
166,3.533
167,3.537
168,3.54
169,3.54
170,3.544
171,3.546
172,3.551
173,3.56
174,3.566
175,3.566
176,3.571
177,3.571
178,3.571
179,3.571
180,3.572
181,3.572
182,3.576
183,3.591
184,3.591
185,3.6
186,3.6
187,3.6
188,3.6
189,3.6
190,3.6
191,3.605
192,3.61
193,3.612
194,3.612
195,3.614
196,3.616
197,3.616
198,3.616
199,3.625
200,3.625
201,3.625
202,3.628
203,3.628
204,3.63
205,3.635
206,3.636
207,3.637
208,3.64
209,3.641
210,3.646
211,3.65
212,3.65
213,3.65
214,3.65
215,3.65
216,3.652
217,3.652
218,3.652
219,3.652
220,3.662
221,3.662
222,3.663
223,3.664
224,3.666
225,3.666
226,3.666
227,3.666
228,3.666
229,3.666
230,3.666
231,3.666
232,3.67
233,3.67
234,3.671
235,3.675
236,3.675
237,3.675
238,3.675
239,3.675
240,3.677
241,3.677
242,3.68
243,3.68
244,3.68
245,3.688
246,3.688
247,3.688
248,3.7
249,3.7
250,3.7
251,3.7
252,3.7
253,3.711
254,3.712
255,3.714
256,3.733
257,3.733
258,3.733
259,3.733
260,3.733
261,3.733
262,3.735
263,3.735
264,3.74
265,3.74
266,3.742
267,3.744
268,3.745
269,3.75
270,3.75
271,3.75
272,3.761
273,3.762
274,3.764
275,3.77
276,3.771
277,3.777
278,3.777
279,3.785
