"Member","HPI","UR","POPN","POPO","gPOP","HPI_date","UR_date","POP_date"
"AL",540.51,3.2,5193.088,4854.803,7,2026-01-01,2026-06-01,2025-01-01
"AK",495.28,4.4,737.27,738.43,-0.2,2026-01-01,2026-06-01,2025-01-01
"AZ",734.15,4.9,7623.818,6832.81,11.6,2026-01-01,2026-06-01,2025-01-01
"AR",478.52,4.1,3114.791,2979.732,4.5,2026-01-01,2026-06-01,2025-01-01
"CA",976.79,5.2,39355.309,38904.296,1.2,2026-01-01,2026-06-01,2025-01-01
"CO",854.97,3.9,6012.561,5454.328,10.2,2026-01-01,2026-06-01,2025-01-01
"CT",720.72,5.2,3688.496,3588.561,2.8,2026-01-01,2026-06-01,2025-01-01
"DE",775.22,4.9,1059.952,942.065,12.5,2026-01-01,2026-06-01,2025-01-01
"FL",827.88,4.7,23462.518,20219.111,16,2026-01-01,2026-06-01,2025-01-01
"GA",662.12,3.4,11302.748,10183.353,11,2026-01-01,2026-06-01,2025-01-01
"HI",950.52,2.6,1432.82,1422.999,0.7,2026-01-01,2026-06-01,2025-01-01
"ID",873.6,3.7,2029.733,1652.495,22.8,2026-01-01,2026-06-01,2025-01-01
"IL",550.96,5.1,12719.141,12859.585,-1.1,2026-01-01,2026-06-01,2025-01-01
"IN",529.95,3.3,6973.333,6611.442,5.5,2026-01-01,2026-06-01,2025-01-01
"IA",462.37,3.2,3238.387,3122.541,3.7,2026-01-01,2026-06-01,2025-01-01
"KS",481.32,3.8,2977.22,2910.717,2.3,2026-01-01,2026-06-01,2025-01-01
"KY",579.93,4.7,4606.864,4429.126,4,2026-01-01,2026-06-01,2025-01-01
"LA",376.99,4.4,4618.189,4666.998,-1,2026-01-01,2026-06-01,2025-01-01
"ME",1035.68,3.1,1414.874,1329.098,6.5,2026-01-01,2026-06-01,2025-01-01
"MD",720.1,4.3,6265.347,5988.528,4.6,2026-01-01,2026-06-01,2025-01-01
"MA",1312.72,4.4,7154.084,6797.484,5.2,2026-01-01,2026-06-01,2025-01-01
"MI",574.03,5,10127.884,9934.483,1.9,2026-01-01,2026-06-01,2025-01-01
"MN",604.1,4.4,5830.405,5484.002,6.3,2026-01-01,2026-06-01,2025-01-01
"MS",424.2,3.8,2954.16,2990.231,-1.2,2026-01-01,2026-06-01,2025-01-01
"MO",567.45,3.7,6270.541,6075.411,3.2,2026-01-01,2026-06-01,2025-01-01
"MT",817.53,3.3,1144.694,1031.495,11,2026-01-01,2026-06-01,2025-01-01
"NE",545.44,2.9,2018.006,1892.059,6.7,2026-01-01,2026-06-01,2025-01-01
"NV",640.48,5.1,3282.188,2868.531,14.4,2026-01-01,2026-06-01,2025-01-01
"NH",906.43,2.9,1415.342,1337.48,5.8,2026-01-01,2026-06-01,2025-01-01
"NJ",947.27,4.5,9548.215,8870.312,7.6,2026-01-01,2026-06-01,2025-01-01
"NM",556.35,4.8,2125.498,2090.071,1.7,2026-01-01,2026-06-01,2025-01-01
"NY",1157.14,4.6,20002.427,19657.321,1.8,2026-01-01,2026-06-01,2025-01-01
"NC",702.88,3.6,11197.968,10037.218,11.6,2026-01-01,2026-06-01,2025-01-01
"ND",523.26,2.3,799.358,755.537,5.8,2026-01-01,2026-06-01,2025-01-01
"OH",513.93,3.6,11900.51,11622.315,2.4,2026-01-01,2026-06-01,2025-01-01
"OK",395.71,4.2,4123.288,3910.518,5.4,2026-01-01,2026-06-01,2025-01-01
"OR",848.51,5.2,4273.586,4018.542,6.3,2026-01-01,2026-06-01,2025-01-01
"PA",722.56,4.1,13059.432,12789.838,2.1,2026-01-01,2026-06-01,2025-01-01
"RI",1039.61,4.1,1114.521,1056.886,5.5,2026-01-01,2026-06-01,2025-01-01
"SC",717.02,4.4,5570.274,4896.006,13.8,2026-01-01,2026-06-01,2025-01-01
"SD",642.33,2,935.094,854.663,9.4,2026-01-01,2026-06-01,2025-01-01
"TN",704.14,3.5,7315.076,6595.354,10.9,2026-01-01,2026-06-01,2025-01-01
"TX",529.31,4.4,31709.821,27468.531,15.4,2026-01-01,2026-06-01,2025-01-01
"UT",858.12,3.6,3538.904,2983.626,18.6,2026-01-01,2026-06-01,2025-01-01
"VT",885.87,2.6,644.663,625.81,3,2026-01-01,2026-06-01,2025-01-01
"VA",768.03,3.7,8880.107,8367.303,6.1,2026-01-01,2026-06-01,2025-01-01
"WA",1031.17,5.2,8001.02,7167.287,11.6,2026-01-01,2026-06-01,2025-01-01
"WV",361.29,4.2,1766.147,1843.332,-4.2,2026-01-01,2026-06-01,2025-01-01
"WI",627.66,3.3,5972.787,5762.927,3.6,2026-01-01,2026-06-01,2025-01-01
"WY",519.43,3.2,588.753,586.389,0.4,2026-01-01,2026-06-01,2025-01-01
