"Member","Population","as_of"
"AL",5193.088,"2025-01-01"
"AK",737.27,"2025-01-01"
"AZ",7623.818,"2025-01-01"
"AR",3114.791,"2025-01-01"
"CA",39355.309,"2025-01-01"
"CO",6012.561,"2025-01-01"
"CT",3688.496,"2025-01-01"
"DE",1059.952,"2025-01-01"
"FL",23462.518,"2025-01-01"
"GA",11302.748,"2025-01-01"
"HI",1432.82,"2025-01-01"
"ID",2029.733,"2025-01-01"
"IL",12719.141,"2025-01-01"
"IN",6973.333,"2025-01-01"
"IA",3238.387,"2025-01-01"
"KS",2977.22,"2025-01-01"
"KY",4606.864,"2025-01-01"
"LA",4618.189,"2025-01-01"
"ME",1414.874,"2025-01-01"
"MD",6265.347,"2025-01-01"
"MA",7154.084,"2025-01-01"
"MI",10127.884,"2025-01-01"
"MN",5830.405,"2025-01-01"
"MS",2954.16,"2025-01-01"
"MO",6270.541,"2025-01-01"
"MT",1144.694,"2025-01-01"
"NE",2018.006,"2025-01-01"
"NV",3282.188,"2025-01-01"
"NH",1415.342,"2025-01-01"
"NJ",9548.215,"2025-01-01"
"NM",2125.498,"2025-01-01"
"NY",20002.427,"2025-01-01"
"NC",11197.968,"2025-01-01"
"ND",799.358,"2025-01-01"
"OH",11900.51,"2025-01-01"
"OK",4123.288,"2025-01-01"
"OR",4273.586,"2025-01-01"
"PA",13059.432,"2025-01-01"
"RI",1114.521,"2025-01-01"
"SC",5570.274,"2025-01-01"
"SD",935.094,"2025-01-01"
"TN",7315.076,"2025-01-01"
"TX",31709.821,"2025-01-01"
"UT",3538.904,"2025-01-01"
"VT",644.663,"2025-01-01"
"VA",8880.107,"2025-01-01"
"WA",8001.02,"2025-01-01"
"WV",1766.147,"2025-01-01"
"WI",5972.787,"2025-01-01"
"WY",588.753,"2025-01-01"
